# ZINDO/S-CIS over a planar C/N/O/H chromophore set. Generated by
# tests/photoexcitation.rs; regenerate with XNDO_STUDY_WRITE=1.
# polarisation is exact for a planar molecule: reflection in the
# molecular plane separates the in-plane dipole components from the
# normal one, so no transition can be polarised partly along both.
molecule	spin	root	energy_ev	oscillator	polarisation	d_ct_angstrom	diff_dipole_debye	why
pyridine	singlet	5	6.247456	0.747549	in-plane	0.0393	0.0862	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	singlet	6	6.375222	0.736097	in-plane	0.0238	0.1038	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	triplet	1	2.256332	0.000000	dark	0.0716	0.3440	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	triplet	2	3.318902	0.000000	dark	0.5042	3.8813	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	triplet	3	3.538042	0.000000	dark	0.1090	0.5232	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	triplet	4	3.724579	0.000000	dark	0.0915	0.4389	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	triplet	5	4.764439	0.000000	dark	0.5579	2.6795	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	triplet	6	5.239007	0.000000	dark	0.9003	5.5681	one ring nitrogen: an in-plane lone pair above the pi system
pyrazine	singlet	1	3.460700	0.016148	out-of-plane	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	singlet	2	4.233316	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	singlet	3	4.355101	0.165000	in-plane	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	singlet	4	5.079224	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	singlet	5	5.465294	0.020507	in-plane	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	singlet	6	6.277983	0.632231	in-plane	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	triplet	1	2.165088	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	triplet	2	2.719657	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	triplet	3	3.008545	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	triplet	4	3.318806	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	triplet	5	3.714569	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
pyrazine	triplet	6	4.934791	0.000000	dark	0.0000	0.0000	two para nitrogens: two lone pairs, and the classic n->pi* test case
formaldehyde	singlet	1	3.186566	0.000000	dark	0.5307	2.5490	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	singlet	2	8.213916	0.027096	in-plane	1.1152	5.7024	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	singlet	3	8.819366	0.016358	out-of-plane	0.4881	3.4954	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	singlet	4	8.879774	0.339141	in-plane	0.4358	2.1163	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	singlet	5	10.468207	0.032959	out-of-plane	1.0203	5.3129	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	singlet	6	11.695374	0.142538	in-plane	1.1427	5.5120	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	triplet	1	2.709888	0.000000	dark	0.5425	2.6057	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	triplet	2	4.237813	0.000000	dark	0.4230	2.0313	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	triplet	3	7.314869	0.000000	dark	0.9272	4.7745	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	triplet	4	7.878529	0.000000	dark	0.5312	3.8198	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	triplet	5	9.725010	0.000000	dark	0.9813	5.0185	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
formaldehyde	triplet	6	10.680191	0.000000	dark	0.9302	4.4653	the reference carbonyl; the oxygen lone pair is the highest occupied orbital
glyoxal	singlet	1	2.347600	0.000047	out-of-plane	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	singlet	2	3.169408	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	singlet	3	6.451753	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	singlet	4	7.210002	0.566488	in-plane	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	singlet	5	7.229144	0.000041	out-of-plane	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	singlet	6	7.553800	0.109719	in-plane	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	triplet	1	1.899952	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	triplet	2	2.661018	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	triplet	3	3.299890	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	triplet	4	4.330251	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	triplet	5	6.309653	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
glyoxal	triplet	6	6.612818	0.000000	dark	0.0000	0.0000	two conjugated carbonyls; lone pairs that can mix with each other
acrolein	singlet	1	2.883632	0.000018	out-of-plane	1.0094	4.9265	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	singlet	2	5.540664	0.775015	in-plane	0.3913	1.8800	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	singlet	3	6.653490	0.000732	out-of-plane	1.8297	8.8567	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	singlet	4	7.350877	0.000016	out-of-plane	0.3303	1.7561	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	singlet	5	7.367068	0.026656	in-plane	0.2164	1.0368	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	singlet	6	7.603190	0.001039	out-of-plane	0.3171	1.9814	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	triplet	1	1.824800	0.000000	dark	0.2412	1.1584	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	triplet	2	2.471459	0.000000	dark	0.9921	4.8421	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	triplet	3	4.258640	0.000000	dark	0.3767	1.8090	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	triplet	4	6.244380	0.000000	dark	0.3234	1.7016	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	triplet	5	6.543181	0.000000	dark	1.7581	8.5196	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
acrolein	triplet	6	6.962230	0.000000	dark	1.2329	5.9235	a carbonyl conjugated with a double bond: n->pi* and pi->pi* close together
formamide	singlet	1	3.845732	0.000371	out-of-plane	0.7841	3.8140	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	singlet	2	6.498911	0.314913	in-plane	0.6161	2.9300	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	singlet	3	7.990571	0.027961	out-of-plane	0.6435	3.4314	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	singlet	4	8.017817	0.023934	in-plane	1.2266	6.2071	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	singlet	5	8.820847	0.013861	out-of-plane	0.4499	3.1809	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	singlet	6	9.358642	0.030747	out-of-plane	0.5676	3.0597	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	triplet	1	3.442471	0.000000	dark	0.7874	3.8306	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	triplet	2	3.832341	0.000000	dark	0.3875	1.8610	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	triplet	3	6.784251	0.000000	dark	0.3230	1.8036	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	triplet	4	7.042639	0.000000	dark	0.7734	3.7146	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	triplet	5	7.354662	0.000000	dark	1.1034	5.5456	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
formamide	triplet	6	8.120402	0.000000	dark	0.5385	3.7439	the amide chromophore; a nitrogen lone pair conjugated into the carbonyl
